model,checkpoint_path,checkpoint_step,benchmark,pair_scope,matching_fields,count_negative,count_positive,mean_negative,mean_positive,median_negative,median_positive,median_gap_positive_minus_negative
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_changed,all_pairs,2,619.0,763.0,0.3965975,0.9628864,0.28961042,0.99674475,0.70713437
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_changed,all_pairs,3,,2.0,,0.99990547,,0.99990547,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_changed,all_pairs,4,,652.0,,0.99996305,,0.99996305,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,0,1691237.0,143.0,0.02003196,0.33497927,0.000109122586,0.19777077,0.19766165
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,1,302209.0,236.0,0.020499531,0.5144399,9.370693e-05,0.53371197,0.5336183
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,2,5039.0,103.0,0.039824948,0.7157128,0.00042188464,0.93828434,0.93786246
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,3,14.0,16.0,0.36014244,0.91208464,0.018982861,0.9950008,0.9760179
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_balanced,all_pairs,4,1.0,2.0,0.99614763,0.997121,0.99614763,0.997121,0.00097334385
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_paired,paired_rows,0,207.0,143.0,0.15624924,0.33497927,0.011603966,0.19777077,0.18616681
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_paired,paired_rows,1,218.0,236.0,0.28368014,0.5144399,0.033786923,0.53371197,0.49992505
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_paired,paired_rows,2,67.0,103.0,0.41409948,0.7157128,0.30482498,0.93828434,0.6334593
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_paired,paired_rows,3,7.0,16.0,0.7130728,0.91208464,0.82227784,0.9950008,0.17272294
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,bpid_matching_paired,paired_rows,4,1.0,2.0,0.99614763,0.997121,0.99614763,0.997121,0.00097334385
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,0,955.0,,0.28430524,,0.009107017,,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,1,10106.0,,0.232804,,0.004695321,,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,2,64324.0,,0.23771743,,0.018596262,,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,3,98317.0,,0.26820982,,0.031191725,,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,4,52554.0,,0.32295594,,0.06803428,,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,5,11084.0,1.0,0.437172,0.95286804,0.29604393,0.95286804,0.6568241
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,6,1970.0,40.0,0.5297837,0.4155129,0.5722369,0.2860632,-0.2861737
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,7,446.0,144.0,0.6469296,0.5315904,0.95757043,0.6511867,-0.30638373
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,8,81.0,178.0,0.80113596,0.67652655,0.9986173,0.9135101,-0.08510721
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,9,19.0,197.0,0.9336578,0.77132833,0.999897,0.9748653,-0.025031686
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,10,2.0,227.0,0.9124475,0.9068166,0.9124475,0.999469,0.08702147
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,11,,281.0,,0.9606186,,0.9999373,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,12,,197.0,,0.98749167,,0.9999616,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,ice_id_people_200,all_pairs,13,,42.0,,0.9999473,,0.99996394,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,dblp_acm,cross_source,0,194420.0,,0.02312633,,0.0012781763,,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,dblp_acm,cross_source,1,51512.0,228.0,0.2996457,0.9991983,0.040595785,0.9999286,0.9593328
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,dblp_acm,cross_source,2,3563.0,207.0,0.76628613,0.99988234,0.91495186,0.99991536,0.0849635
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,dblp_acm,cross_source,3,5.0,65.0,0.7520739,0.99988085,0.9997147,0.9998946,0.00017994642
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,dblp_google_scholar,cross_source,0,453344.0,334.0,0.52214634,0.9773702,0.5570676,0.9987543,0.44168675
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,dblp_google_scholar,cross_source,1,103348.0,453.0,0.5981907,0.9844679,0.70155823,0.9993765,0.29781824
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,dblp_google_scholar,cross_source,2,6524.0,282.0,0.6755382,0.9908047,0.823047,0.99984175,0.17679477
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,dblp_google_scholar,cross_source,3,30.0,73.0,0.9421992,0.9999112,0.99841225,0.9999633,0.0015510321
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,fodors_zagats,cross_source,0,10208.0,3.0,0.032722548,0.99815685,0.0005683516,0.99822897,0.99766064
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,fodors_zagats,cross_source,1,2041.0,27.0,0.25781047,0.9371612,0.07195111,0.99514514,0.92319405
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,fodors_zagats,cross_source,2,181.0,48.0,0.56456155,0.9971762,0.60927445,0.99937344,0.390099
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,fodors_zagats,cross_source,3,1.0,28.0,0.9998827,0.9993168,0.9998827,0.99981815,-6.455183e-05
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,fodors_zagats,cross_source,4,1.0,6.0,0.99993503,0.99993277,0.99993503,0.9999446,9.596348e-06
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,walmart_amazon,cross_source,0,271911.0,77.0,0.7270341,0.9566483,0.96160936,0.9998828,0.038273454
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,walmart_amazon,cross_source,1,15869.0,257.0,0.72542965,0.9447864,0.98360187,0.9999027,0.016300857
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,walmart_amazon,cross_source,2,938.0,188.0,0.7803732,0.93870586,0.98069715,0.99993265,0.019235492
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,walmart_amazon,cross_source,3,62.0,52.0,0.9043744,0.99584574,0.99876314,0.9999453,0.0011821389
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,walmart_amazon,cross_source,4,5.0,6.0,0.99747276,0.99454206,0.9971662,0.9999627,0.0027964711
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,0,212711.0,456.0,0.98689705,0.9933524,0.99969816,0.9999477,0.00024956465
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,1,76261.0,115.0,0.98784614,0.9999424,0.9998242,0.9999509,0.00012665987
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,2,671.0,6.0,0.9998541,0.9999624,0.99990165,0.99996376,6.210804e-05
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,3,8.0,,0.9999577,,0.9999631,,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_numeric,cross_source,4,,3.0,,0.99996305,,0.99996305,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_both,cross_source,0,212106.0,458.0,0.98705214,0.9933522,0.99967444,0.9999295,0.00025504827
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_both,cross_source,1,73161.0,67.0,0.9868254,0.9999286,0.99977857,0.9999367,0.00015813112
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_both,cross_source,2,3808.0,49.0,0.99967295,0.99994385,0.9998342,0.99994874,0.00011456013
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_both,cross_source,3,570.0,4.0,0.99987644,0.9999578,0.9999127,0.9999602,4.7504902e-05
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_both,cross_source,4,6.0,,0.99996036,,0.9999638,,
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,amazon_google_price_both,cross_source,5,,2.0,,0.99996305,,0.99996305,
