model,checkpoint_path,checkpoint_step,benchmark,pair_scope,matching_fields,target,count,mean,median,q10,q25,q75,q90,min,max
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,2,False,3808,0.9996617,0.9998792,0.999396,0.99974185,0.9999393,0.99996364,0.9437207,0.99998903
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,2,True,49,0.9999806,0.9999832,0.9999739,0.9999801,0.9999858,0.99998736,0.9999312,0.99998903
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,3,False,570,0.9999134,0.99995744,0.9998262,0.99991524,0.99997413,0.9999819,0.99759126,0.9999893
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,3,True,4,0.99998397,0.99998504,0.9999794,0.99998236,0.99998665,0.9999877,0.99997735,0.99998844
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,4,False,6,0.99998516,0.999987,0.9999791,0.9999857,0.99998873,0.9999894,0.99997246,0.99998987
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,amazon_google_price_both,cross_source,5,True,2,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888,0.9999888
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_shared,all_pairs,0,False,317210,0.033902455,0.00048063614,3.970555e-06,3.679171e-05,0.006576229,0.06355499,6.281178e-10,0.99704176
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_shared,all_pairs,0,True,9,0.6588158,0.63769287,0.13175964,0.59784615,0.96947193,0.97581875,0.07831595,0.9996587
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_shared,all_pairs,1,False,4320,0.20542088,0.037345525,0.00039178942,0.0025805272,0.3258295,0.7431655,1.4273411e-06,0.9993691
hard_negative_wag,results/model_checkpoints/20260721_200947_seed1337_bda60282_best_step1500.pt,1500,nc_voters_shared,all_pairs,1,True,36,0.84302926,0.9820153,0.4514665,0.8408501,0.9954318,0.99860096,0.07322486,0.99957293
